ticker,price,gap,relvol,bullish_score,risk_score,score,signals
ADBE,220.64999389648438,-0.131261221018039,0.16446653652686571,0,0,0,[]
AMD,554.0,7.071766829907594,0.4251574131760049,2,0,2,[]
ABNB,146.4499969482422,2.4484085867222807,0.17718057345512508,2,0,2,[]
ALNY,337.8900146484375,4.4482270937983,2.536557879902612,6,0,6,"['🚀 Breakout 20 giorni', '🔥 Relative Volume 2.5x']"
GOOGL,353.5350036621094,-2.3168129571533793,0.27710130987833814,0,0,0,[]
GOOG,350.9928894042969,-2.1513485084364246,0.2563125202959805,0,0,0,[]
AMZN,241.38499450683594,-0.9174126324386754,0.18518157310152109,0,0,0,[]
AEP,135.07000732421875,-0.6107333403545473,0.13031251996439577,2,0,2,[]
AMGN,363.2300109863281,-1.293507805746351,0.12174562183910378,0,0,0,[]
ADI,395.75,2.685523162279956,0.12440433631172537,0,0,0,[]
AAPL,314.57501220703125,0.3781223086903666,0.18569815484358804,2,0,2,[]
AMAT,606.5499877929688,6.3190162652004815,0.3480892183757142,2,0,2,[]
APP,519.7299194335938,-0.46920090324271335,0.2076016076198141,0,0,0,[]
ARM,333.5,11.07780803605189,0.3809421603583412,5,0,5,['🚀 Forte rally +11.1%']
ASML,1831.199951171875,3.536591518637765,0.3521694973064177,2,0,2,[]
ALAB,424.375,7.93951471338308,0.23449353823110367,2,0,2,[]
ADSK,206.42999267578125,0.18928334418397877,0.1978163588859285,0,0,0,[]
ADP,238.64999389648438,-1.126901137559595,0.12073795030200188,0,0,0,[]
AXON,583.1900024414062,-2.769254032945349,0.2875932226600097,0,0,0,[]
BKR,57.27000045776367,-0.5383837503176706,0.1993816399150865,0,0,0,[]
BKNG,174.00999450683594,-0.16065109305340297,0.16923484561297988,0,0,0,[]
AVGO,399.54998779296875,2.793996573966321,0.3538523556974669,0,0,0,[]
CDNS,382.5700988769531,2.275063191440654,0.16212647478253414,2,0,2,[]
CTAS,176.99000549316406,-1.7649956752507554,0.16030317457421817,0,0,0,[]
CSCO,118.58999633789062,4.190824684463001,0.20439515366357414,2,0,2,[]
CCEP,104.46499633789062,-0.9153030109948527,0.19285380608775515,2,0,2,[]
CMCSA,23.082000732421875,-0.46571711577638836,0.15489078580830343,0,0,0,[]
CEG,247.99000549316406,1.4191072959562898,0.20168066155693035,0,0,0,[]
CPRT,27.954999923706055,-2.2210571021083307,0.17743894791474937,0,0,0,[]
CRWV,93.02999877929688,3.366665310329861,0.33687963090087963,0,0,0,[]
COST,910.3900146484375,-4.484172150223084,0.7202773277608313,0,0,0,[]
CRWD,195.47000122070312,2.276060179285986,0.1804420746498385,2,0,2,[]
CSX,49.3650016784668,1.3863279334486125,0.1863160286624809,2,0,2,[]
DDOG,267.18499755859375,2.3344445617193452,0.4082927803186778,2,0,2,[]
DXCM,71.93000030517578,-2.876042835044367,0.1593546025491801,2,0,2,[]
FANG,182.30999755859375,-2.299039873847598,0.14114104979353148,0,0,0,[]
DASH,191.52499389648438,1.148660006791712,0.11160104622986543,0,0,0,[]
EA,205.27999877929688,0.19034574201289264,0.26040912043745595,2,0,2,[]
EXC,46.755001068115234,-1.1104012790531805,0.32279834941668506,0,0,0,[]
FAST,46.21500015258789,-0.6342682855112772,0.2840966327999874,2,0,2,[]
FER,64.76000213623047,0.6840834009544572,0.2016455520389419,0,0,0,[]
FTNT,163.10499572753906,4.080778980086653,0.24935470283247899,2,0,2,[]
GEHC,64.2300033569336,-0.6957281170670899,0.15284102427459348,0,0,0,[]
GILD,133.72000122070312,-1.5461684510903146,0.17601667402925208,0,0,0,[]
HON,220.30250549316406,-0.026091449005377763,0.1210742652577869,0,0,0,[]
IDXX,559.1624755859375,0.6285192260143977,0.2283119582321999,0,0,0,[]
INTC,112.93000030517578,2.4401328860060887,0.37851724571066253,0,0,0,[]
INTU,272.17999267578125,0.029396020018902732,0.2194593430618662,0,0,0,[]
ISRG,413.3299865722656,-0.42640797524069446,0.2427814543740358,0,0,0,[]
KDP,30.485000610351562,-1.5660274903325382,0.13105378475539037,2,0,2,[]
KLAC,237.08999633789062,7.1932381720579945,0.3034885643741787,2,0,2,[]
KHC,24.924999237060547,0.020060837685779927,0.20985754991044311,2,0,2,[]
LRCX,354.5450134277344,6.422038097919885,0.3662254198656022,2,0,2,[]
LIN,519.9299926757812,-1.4668240538694521,0.21335545490335991,2,0,2,[]
LITE,789.25,11.61787968469225,0.5467600116391786,3,0,3,['🚀 Forte rally +11.6%']
MAR,372.5799865722656,0.3825797219920687,0.16639675367814694,0,0,0,[]
MRVL,246.63999938964844,6.443395728790392,0.20582312633976763,2,0,2,[]
MELI,1805.6700439453125,-0.20504045183920785,0.30621583239208466,0,0,0,[]
META,604.4000244140625,0.21223459796359223,0.4933465051898552,0,0,0,[]
MCHP,90.125,5.421689381272955,0.20666572633156177,0,0,0,[]
MU,1018.8873901367188,7.386952281353032,0.36942591724322393,2,0,2,[]
MSFT,380.05999755859375,-0.8556369829997489,0.2326403191944933,0,0,0,[]
MSTR,96.44000244140625,2.737828507113575,0.20918176549355466,0,0,0,[]
MDLZ,59.005001068115234,-0.7985852013731115,0.16243437998425939,0,0,0,[]
MPWR,1393.2149658203125,5.9068312272691585,0.17851514764379983,0,0,0,[]
MNST,96.18499755859375,1.087751987511367,0.18435067050666568,2,0,2,[]
NBIS,216.7050018310547,0.1039385199354941,0.40625269784041074,0,0,0,[]
NFLX,74.72859954833984,-1.1395645340427052,0.2095433456913708,0,0,0,[]
NVDA,201.5699005126953,-1.249311515527007,0.3965796577699618,0,0,0,[]
NXPI,295.6700134277344,4.178857676319903,0.15663315772288636,0,0,0,[]
ORLY,84.58999633789062,-0.4589397548089738,0.19726223157991252,0,0,0,[]
ODFL,225.55999755859375,3.349368869916953,0.17676110022116706,2,0,2,[]
PCAR,122.93000030517578,0.35102065728635207,0.19041227248851736,0,0,0,[]
PLTR,126.53500366210938,-4.299650208824524,0.4076654836001247,0,0,0,[]
PANW,331.2300109863281,3.3188854206240723,0.38933342213681005,2,0,2,[]
PAYX,106.48999786376953,-0.08444733133691071,0.1490314666697103,0,0,0,[]
PYPL,44.834999084472656,0.6849322109516509,0.1608723453789231,0,0,0,[]
PDD,85.47000122070312,0.8614625623512149,0.22950496276082047,0,0,0,[]
PEP,137.38999938964844,-3.592727046903299,0.6960817717188956,0,0,0,[]
QCOM,194.85000610351562,4.443615273053482,0.23607942369550325,0,0,0,[]
REGN,662.8049926757812,-0.01131610645647866,0.16444768159442946,0,0,0,[]
